school,raw_F_count,raw_M_count,raw_?_count,cc_F_count,cc_M_count,ratio_F,cc_average_degree_F,cc_average_degree_M,cc_max_deg_F,cc_max_deg_M,cc_homophily_F,cc_homophily_M,b0_glm_F,b0_dispmod_glm_F,b0_glm_M,b0_dispmod_glm_M,cc_monophily_F,cc_monophily_M,chi_square_p_value_F,chi_square_p_value_M
comm28,579,580,9,519,480,0.51951951951951947,5.1406551059730248,5.1083333333333334,10,10,0.64767616191904054,0.55097879282218598,0.64767616191903987,0.64767616191903987,0.55097879282218609,0.55603557723424124,0.0,0.03420934411186167,0.5874139537173075,0.05332366880439865
comm29,296,282,0,278,243,0.53358925143953939,5.7338129496402876,5.761316872427984,10,10,0.62735257214554574,0.57571428571428562,0.62735257214554574,0.62735257214554574,0.57571428571428551,0.57652674039300522,0.0,0.00384409119350802,0.765193676281077,0.42770395193829924
comm3,16,16,0,13,15,0.4642857142857143,3.5384615384615383,4.5333333333333332,8,8,0.43478260869565222,0.64705882352941169,0.43478260872177582,0.48141337204886198,0.64705882352941169,0.64705882352941169,0.1314297479531218,0.0,0.26212185998489734,0.8598194106676056
comm30,360,381,5,326,296,0.52411575562700963,5.0705521472392636,4.7398648648648649,10,10,0.6231094978826377,0.56307911617961515,0.6231094978826377,0.6231094978826377,0.56307911617961504,0.56980503954564432,0.0,0.046727941953882766,0.998602487778564,0.0563115655024371
comm31,361,533,6,214,256,0.4553191489361702,3.4626168224299065,2.8671875,9,9,0.7031039136302295,0.66485013623978206,0.70310391363022851,0.70310391363022851,0.66485013623978195,0.68784426751643679,0.0,0.10674586972491457,0.6223863361255679,0.0221916367158016
comm32,444,429,4,395,363,0.52110817941952503,5.2025316455696204,4.8264462809917354,10,10,0.62968369829683701,0.55707762557077634,0.6296836982968369,0.6296836982968369,0.55707762557077622,0.55707762557077622,0.0,0.0,0.9230647384338738,0.5092477893403566
comm33,1127,1109,14,808,581,0.58171346292296622,3.266089108910891,3.1583476764199654,9,9,0.66199317923455847,0.53405994550408731,0.66199317923455792,0.66199317923455792,0.5340599455040782,0.53786273637372861,0.0,0.0490196212256201,0.9763162681028212,0.07692845697287765
comm34,896,777,8,763,572,0.57153558052434461,4.5281782437745743,4.4318181818181817,10,10,0.62257597684515187,0.48875739644970417,0.62257597684515165,0.62257597684515165,0.48875739644972649,0.48875739644972649,0.0,0.0,0.9962524463483675,0.8346485038930753
comm35,476,395,2,422,299,0.58529819694868235,4.4360189573459712,4.6655518394648832,10,10,0.6907051282051283,0.53046594982078854,0.69070512820512442,0.69070512820512442,0.5304659498074471,0.53165855009062868,0.0,0.0104237210759741,0.9218743107992251,0.3517203108124791
comm36,1091,1085,33,959,836,0.53426183844011144,4.8925964546402501,4.6614832535885169,10,10,0.62489343563512356,0.52219656145753135,0.62489343563512278,0.62489343563512278,0.5221965614571461,0.5221965614571461,0.0,0.0,0.9996891810013069,0.9739363619585908
